term,definition,link,introduced_by_card_id
SDLC,"Short for Software Development Lifecycle — the structured sequence of phases a piece of software goes through, from the first idea for it all the way to it eventually being retired.",https://en.wikipedia.org/wiki/Systems_development_life_cycle,1
ad-hoc,"Done without a planned, repeatable process — improvised on the spot rather than following an agreed method, so results vary depending on who's doing the work and how. It's the opposite of following a defined process, which is why ad-hoc coding is harder to keep consistent or repeat.",,7
requirements gathering,"The early step of talking to real users and stakeholders to find out what a system actually needs to do, done before any building starts — it's the source for both a project's functional and non-functional requirements.",,16
functional requirements,"The part of a system's requirements that describe what it must actually do — its features and behavior, e.g. ""users can reset their password"" — as opposed to how well it performs.",,21
non-functional requirements,"The part of a system's requirements that describe how well it performs rather than what it does — things like its speed, security, or reliability.",,22
user story,"A short description of a feature written from a real user's point of view, explaining what they need and why — e.g. ""As a shopper, I want to save items for later so I don't lose track of them."" It's paired with acceptance criteria that spell out exactly how you'll know it's been delivered.",,26
acceptance criteria,"The specific, checkable conditions attached to a user story that say exactly how you know that story's need has been fully met — its ""done"" state, e.g. ""a saved item still appears after logging back in a week later.""",,27
feasibility analysis,"An early check of whether a project is actually worth doing — realistic to build, and worth the cost — done before real money or time gets spent on it.",,31
high-level design,"An early design pass that sketches a system's overall shape and structure, without working out every detailed internal piece yet.",,36
low-level design,"The more detailed design pass that comes after high-level design, working out a system's exact internals — like specific data structures and logic.",,37
design document,"A written record, created before any code is written, that lays out a system's planned structure and approach so a team can agree on it upfront.",,41
prototype,"An early, deliberately rough and throwaway version of a product or feature, built fast and cheaply just to test whether an idea works — e.g. a clickable mockup with no real backend, made to see if users understand a new flow before anyone commits to building it for real. Unlike a finished build, it's expected to be discarded, not polished into the final product.",,46
coding standards,"An agreed set of style and structure rules that every contributor follows, so a codebase stays consistent no matter who is writing in it.",,51
version control,"A system (e.g. Git) that tracks every change made to a codebase over time — who changed what and when, and lets you roll back to an earlier version — running throughout the entire SDLC starting from the very first commit.",https://en.wikipedia.org/wiki/Version_control,56
code review,"A step where a teammate checks over a piece of code before it gets merged, catching issues while they're still cheap and easy to fix.",,61
pair programming,A way of working where two developers sit together on the same piece of code in real time — one typing while the other reviews live as they go.,,66
unit test,"A test that checks a single, small piece of code — like one function — in isolation from the rest of the system.",,77
integration test,"A test that checks whether multiple parts of a system work correctly together, rather than testing any one piece alone — e.g. confirming the login page actually saves a new session in the database, not just that each piece works on its own.",,77
system test,"A test that checks a whole finished product end to end the way a real user would use it, rather than checking one function or one pair of parts working together — e.g. installing the finished app and stepping through signup, browsing, and checkout in one pass. It's the broadest of the four test types (unit, integration, system, acceptance).",,76
TDD,"Short for Test-Driven Development — a way of coding where you write a failing test first, then write just enough code to make it pass, then clean the code up.",https://en.wikipedia.org/wiki/Test-driven_development,81
deployment,"The act of releasing a version of the software so it actually runs where real users can reach it — e.g. pushing a new build onto the servers that serve the live app. Different deployment strategies, like canary release or blue-green deployment, exist to make that moment less risky.",,96
blue-green deployment,"A release strategy that keeps two full environments running and switches all traffic over to the new one at once, rather than shifting it gradually like a canary release.",,87
continuous integration,"Often shortened to CI — a practice of merging code changes into the shared codebase frequently, running automated tests on each change instead of saving up one huge merge at the end.",,91
continuous deployment,"A practice where every code change that passes its tests is released automatically, with no manual step — fully automated from change to live release.",,96
continuous delivery,"A practice similar to continuous deployment, except a human still manually triggers the final release step instead of it happening fully automatically.",,97
release management,The work of deliberately coordinating exactly what ships and when — e.g. deciding that version 2.3 goes out next Tuesday with these three features — so a release is planned rather than accidental.,,101
preventive maintenance,"Post-launch changes made to head off a bug or failure before it actually happens, rather than fixing something that's already broken — e.g. refactoring a fragile piece of code you can see is likely to fail soon.",,107
monitoring,"Continuously watching a live, already-shipped system so real problems can be caught early, instead of just waiting for users to report them.",,111
incident,"An unplanned problem or outage in a live system already being used by real users, serious enough to need an active response to restore service — e.g. a payment page suddenly returning errors for every user. The urgent priority during an incident is getting service working again; digging into why it happened at all is a separate, later step (see root-cause analysis).",,116
root-cause analysis,"The deeper investigation into why an incident actually happened, done after the immediate problem is fixed and service is already restored.",,117
deprecation,"Deliberately retiring a feature — with a warning to users, a timeline, and a plan — instead of silently letting it rot unmaintained with no notice.",,122
Waterfall,"An SDLC model that moves through its phases in strict order, one finishing completely before the next begins, which makes late changes hard to absorb once a phase is done.",https://en.wikipedia.org/wiki/Waterfall_model,126
V-Model,"An SDLC model that extends Waterfall by pairing each development phase with a matching test phase, getting its name from the V shape that pairing draws when diagrammed.",https://en.wikipedia.org/wiki/V-model_(software_development),131
Iterative model,"An SDLC model that builds and improves a system through small repeated cycles, rather than trying to build the whole thing at once.",,136
Spiral model,An SDLC model that combines repeated iterative cycles with an explicit risk-analysis step at the start of every single cycle.,https://en.wikipedia.org/wiki/Spiral_model,141
Agile,"An SDLC approach that delivers working software in short, frequent cycles, adjusting the plan continuously based on real feedback as it comes in.",https://en.wikipedia.org/wiki/Agile_software_development,146
DevOps,"A way of working that merges development and operations into one shared team responsibility, evolved from the traditional SDLC's separate dev and ops teams, aiming for faster and more reliable delivery.",https://en.wikipedia.org/wiki/DevOps,151
audit trail,"A traceable, ongoing record of past decisions and changes — e.g. a log showing who approved a change and when — kept for compliance purposes; it matters especially for regulated or high-stakes systems where real accountability is required.",,162
