id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,explanation
1,1,true_false,preview,2,SDLC describes a lifecycle from idea to retirement.,,true,cards/card_1.png,,
2,1,multiple_choice,main,,What does SDLC describe?,A sequence|One tool|A meeting,0,,,It's a structured sequence of phases (software development lifecycle) — from idea to retirement.
3,1,true_false,exercise,2,SDLC covers a system from idea to retirement.,,true,,,
4,1,select_blank,exercise,2,SDLC stands for software development ___.,lifecycle|tool|meeting,0,,,
5,1,multiple_choice,exercise,2,What is SDLC made up of?,Phases|One step|A logo,0,,,
6,2,true_false,preview,7,A defined process helps catch problems earlier.,,true,,,
7,2,multiple_choice,main,,What does a defined process help catch?,Problems earlier|Nothing new|Only typos,0,cards/card_7.png,,"A defined process also keeps work repeatable, instead of reinventing things each time."
8,2,true_false,exercise,7,Ad-hoc coding makes work more repeatable.,,false,,,"A defined process is what makes work repeatable, not ad-hoc coding."
9,2,select_blank,exercise,7,Process makes work more ___.,repeatable|random|hidden,0,,,"A process establishes a standardized way of doing things, which inherently makes the work repeatable and consistent. Randomness is what you try to eliminate when building reliable systems."
10,2,multiple_choice,exercise,7,What does ad-hoc coding risk?,Reinventing work|Faster delivery|Clearer plans,0,,,"Because ad-hoc coding is done without sufficient planning, you risk reinventing the wheel by solving similar problems multiple times across different parts of the codebase. This approach sacrifices efficiency for immediate action."
11,3,multiple_choice,preview,12,Which is a core SDLC phase?,Design|Marketing|Painting,0,cards/card_11.png,,"The Software Development Life Cycle focuses on building software, making 'Design' a critical phase for planning architecture before coding begins. Marketing or painting are unrelated business functions."
12,3,multi_select,main,,Pick core SDLC phases.,Requirements|Design|A logo|Build,0|1|3,cards/card_12.png,,"The full list of core phases: requirements, design, build, test, deploy, and maintain."
13,3,true_false,exercise,12,Maintenance is one of the core SDLC phases.,,true,,,"True; maintenance is absolutely a core phase because software rarely works perfectly and requires ongoing updates, fixes, and adaptation after deployment."
14,3,select_blank,exercise,12,Nearly every model shares the same core ___.,phases|logo|font,0,,,"All software models, regardless of methodology (Agile or Waterfall), must still pass through distinct stages like planning, building, and testing; these are the core phases."
15,3,multiple_choice,exercise,12,Name a core SDLC phase.,Testing|A font|A logo,0,,,"Testing is a core phase of the SDLC where you validate that the software works correctly; fonts and logos are just design elements, not development stages."
16,4,true_false,preview,17,Requirements gathering finds out what users need.,,true,,,That's correct; requirements gathering is the initial phase dedicated entirely to understanding and documenting what the end-users actually need from the system.
17,4,multiple_choice,main,,What does requirements gathering find out?,System needs|Font size|Logo color,0,cards/card_17.png,,"It comes from real users, gathered before building starts."
18,4,true_false,exercise,17,Requirements should be gathered before building starts.,,true,,,
19,4,select_blank,exercise,17,Requirements come from the people who ___ it.,use|ignore|delete,0,,,
20,4,multiple_choice,exercise,17,Who is a good source of requirements?,Real users|Random font|Random logo,0,,,
21,5,select_blank,preview,22,Functional requirements describe what a system must ___.,do|cost|look,0,,,
22,5,multiple_choice,main,,What do functional requirements describe?,Behavior|How fast|Font size,0,cards/card_22.png,,"Non-functional requirements, by contrast, describe how well it performs — like its speed or security."
23,5,true_false,exercise,22,Speed is a non-functional requirement.,,true,,,
24,5,select_blank,exercise,22,Non-functional requirements cover how ___ a system performs.,well|much|little,0,,,"Non-functional requirements define quality attributes, meaning they describe *how well* the system must perform in terms of speed or reliability."
