id,title,description,min_level,section,image,section_image
1,What SDLC Actually Means,A structured sequence of phases a software system moves through from idea to retirement.,1,Foundations,unit1.png,
2,Why Structured Process Beats Ad-Hoc Coding,What a defined process actually buys a team over just diving in and coding.,1,Foundations,unit2.png,
3,"The Core SDLC Phases, Overview",A quick tour of the phases every SDLC model builds on in some form.,1,Foundations,unit3.png,
4,Gathering Requirements,Finding out what a system actually needs to do before building it.,1,Requirements and Planning,unit4.png,
5,Functional vs Non-Functional Requirements,"What a system must do, versus how well it must do it.",1,Requirements and Planning,unit5.png,
6,User Stories and Acceptance Criteria,"Describing a need from a user's point of view, and how you will know it is met.",1,Requirements and Planning,unit6.png,
7,Feasibility Analysis,Checking whether a project is realistically worth doing before committing real resources.,1,Requirements and Planning,unit7.png,
8,High-Level Design vs Low-Level Design,"Sketching a system's overall shape first, then its detailed internals.",1,Design,unit8.png,
9,Writing a Design Document,Recording the plan for a system's structure before code gets written.,1,Design,unit9.png,
10,Prototyping,"Building a rough, disposable version to test an idea before committing to it.",1,Design,unit10.png,
11,Coding Standards and Style Guides,Shared conventions that keep a codebase consistent across many contributors.,1,Implementation,unit11.png,
12,Version Control in the SDLC,Where source control fits into the day-to-day rhythm of building software.,1,Implementation,unit12.png,
13,Code Reviews,"A teammate checking your code before it merges, catching issues early.",1,Implementation,unit13.png,
14,Pair Programming,"Two developers working on the same code together, in real time.",1,Implementation,unit14.png,
15,Where Testing Fits in the SDLC,Testing is not one phase at the end; it belongs throughout the whole cycle.,1,Testing,unit15.png,
16,"Test Levels: Unit, Integration, System, Acceptance","Four common levels of testing, from a single function up to the whole product.",1,Testing,unit16.png,
17,Test-Driven Development Basics,Writing a failing test before the code that makes it pass.,1,Testing,unit17.png,
18,Deployment Strategies: Blue-Green and Canary,Two common ways to release a new version with minimal risk.,1,Deployment,unit18.png,
19,Continuous Integration Basics,"Merging and testing code changes frequently, in small batches.",1,Deployment,unit19.png,
20,Continuous Delivery vs Continuous Deployment,"Always being ready to release, versus automatically releasing every change.",1,Deployment,unit20.png,
21,Release Management,"Planning and coordinating exactly what ships, and when.",1,Deployment,unit21.png,
22,Types of Maintenance,The different reasons software gets changed after it first ships.,1,Maintenance,unit22.png,
23,Monitoring Systems in Production,Watching a live system so you find out about problems before users report them.,1,Maintenance,unit23.png,
24,Handling a Production Incident,What to actually do when something breaks for real users right now.,1,Maintenance,unit24.png,
25,Deprecating and Sunsetting Features,"Retiring a feature or system deliberately, instead of just letting it rot.",1,Maintenance,unit25.png,
26,The Waterfall Model,"A strict, sequential model where each phase finishes before the next begins.",1,SDLC Models,unit26.png,
27,The V-Model,An extension of Waterfall that pairs each development phase with a matching test phase.,1,SDLC Models,unit27.png,
28,The Iterative Model,"Building a system in repeated cycles, improving it a little more each time.",1,SDLC Models,unit28.png,
29,The Spiral Model,Combining iteration with an explicit risk-analysis step every cycle.,1,SDLC Models,unit29.png,
30,The Agile Model,"Delivering working software in short, frequent cycles based on changing feedback.",1,SDLC Models,unit30.png,
31,DevOps as an SDLC Evolution,Merging development and operations to ship and run software faster and more reliably.,1,SDLC Models,unit31.png,
32,Documentation Throughout the SDLC,"Keeping useful records at every phase, not just a pile of docs at the end.",1,Cross-Cutting,unit32.png,
33,Compliance and Audit Trails,Keeping a traceable record of decisions and changes for regulated or high-stakes work.,1,Cross-Cutting,unit33.png,
34,Choosing the Right SDLC Model,"Matching a model to a project's actual risk, size, and how well-understood it is.",1,Cross-Cutting,unit34.png,
